"rt","lum1","lum2","correct_response","correct","right","diff","response","time_elapsed"
"559","0.639333459917252","0.5590998653327216","arrowleft","true","false","-0.08023359458453039","arrowleft","92791"
"507","0.19677921714156632","0.1872356735019971","arrowleft","true","false","-0.009543543639569219","arrowleft","101319"
"504","0.6779800714414947","0.7561549604442342","arrowright","true","true","0.0781748890027395","arrowright","109843"
"597","0.4457805331874115","0.055015944059565114","arrowleft","true","false","-0.3907645891278464","arrowleft","118461"
"481","0.26366274229568465","0.3986924019402379","arrowright","true","true","0.13502965964455327","arrowright","126960"
"401","0.5103855734018383","0.6221128671097665","arrowright","true","true","0.11172729370792822","arrowright","135379"
"467","0.6118529258881988","0.7428689635963099","arrowright","true","true","0.1310160377081111","arrowright","143863"
"518","0.5079769888291659","0.20741211774176993","arrowleft","true","false","-0.30056487108739594","arrowleft","152401"
"507","0.45353018089046493","0.13662494805779235","arrowleft","true","false","-0.3169052328326726","arrowleft","160935"
"455","0.02295528605540731","0.023948513695696838","arrowright","false","false","0.000993227640289529","arrowleft","169407"
"365","0.37984724741363285","0.5473778522178923","arrowright","true","true","0.1675306048042594","arrowright","177791"
"516","0.8496303914330611","0.022686461861662788","arrowleft","true","false","-0.8269439295713983","arrowleft","186328"
"678","0.4610921388894872","0.6846049993756981","arrowright","true","true","0.22351286048621088","arrowright","195028"
"487","0.8548008456876991","0.16370946778034612","arrowleft","true","false","-0.691091377907353","arrowleft","203534"
"510","0.5217358019755098","0.9082372146410568","arrowright","true","true","0.38650141266554694","arrowright","212060"
"486","0.5382644657693301","0.11741622328477708","arrowleft","true","false","-0.420848242484553","arrowleft","220564"
"526","0.9920996579761777","0.7998750652655487","arrowleft","true","false","-0.19222459271062897","arrowleft","229106"
"445","0.17714666419167147","0.02234513691630191","arrowleft","true","false","-0.15480152727536955","arrowleft","237567"
"613","0.7324767862130269","0.1160648699561454","arrowleft","true","false","-0.6164119162568815","arrowleft","246196"
"445","0.02198120913441859","0.7906624464047626","arrowright","true","true","0.768681237270344","arrowright","254658"
"469","0.540975933859735","0.4249152649687806","arrowleft","false","true","-0.11606066889095434","arrowright","263155"
"557","0.8976904653693251","0.7555188351464318","arrowleft","true","false","-0.14217163022289325","arrowleft","271731"
"481","0.7610327027429274","0.6605314303361101","arrowleft","true","false","-0.10050127240681739","arrowleft","280239"
"466","0.9297272409583284","0.6159502502231253","arrowleft","true","false","-0.31377699073520304","arrowleft","288724"
"436","0.283101701207506","0.9930980122891765","arrowright","true","true","0.7099963110816705","arrowright","297184"
"445","0.5144641798527237","0.6845467253207027","arrowright","true","true","0.17008254546797896","arrowright","305645"
"485","0.013121834080287442","0.6076580539926447","arrowright","true","true","0.5945362199123573","arrowright","314150"
"433","0.6490250871803915","0.2608539374819395","arrowleft","true","false","-0.388171149698452","arrowleft","322601"
"482","0.6392781043410447","0.7925517419339622","arrowright","true","true","0.15327363759291746","arrowright","331098"
"411","0.8209066520296356","0.16025815879625127","arrowleft","true","false","-0.6606484932333844","arrowleft","339530"
"704","0.9523597391264194","0.9145119356812506","arrowleft","false","true","-0.037847803445168804","arrowright","348254"
"988","0.809261525090452","0.6570328133931821","arrowleft","true","false","-0.15222871169726993","arrowleft","357259"
"503","0.9179277905137895","0.5372700130973372","arrowleft","true","false","-0.38065777741645224","arrowleft","365784"
"463","0.11976688628019527","0.049859705268638144","arrowleft","true","false","-0.06990718101155713","arrowleft","374263"
"511","0.4828101130416135","0.686215934821436","arrowright","true","true","0.20340582177982247","arrowright","382795"
"644","0.8009209724801102","0.6560378994425566","arrowleft","true","false","-0.14488307303755354","arrowleft","391464"
"755","0.7774838309860227","0.4489545735037551","arrowleft","true","false","-0.3285292574822676","arrowleft","400240"
"714","0.9007849218604785","0.8465433086856283","arrowleft","true","false","-0.05424161317485021","arrowleft","408971"
"497","0.3493065206572573","0.2240830810803216","arrowleft","true","false","-0.1252234395769357","arrowleft","417486"
"417","0.8511076416763311","0.9943940615666816","arrowright","true","true","0.1432864198903505","arrowright","425922"
"437","0.7723581544796398","0.7605554251236875","arrowleft","false","true","-0.01180272935595239","arrowright","434376"
"573","0.27668539696060934","0.8177953617345095","arrowright","true","true","0.5411099647739002","arrowright","442967"
"439","0.25038622462699744","0.3124313697698321","arrowright","false","false","0.06204514514283466","arrowleft","451426"
"654","0.9883660004542505","0.2803245567813606","arrowleft","true","false","-0.7080414436728899","arrowleft","460097"
"597","0.22573496796040848","0.6424248886673913","arrowright","true","true","0.41668992070698285","arrowright","468709"
"716","0.6405856308475087","0.559118170163168","arrowleft","false","true","-0.08146746068434074","arrowright","477446"
"822","0.25262721986570535","0.03543260636633805","arrowleft","true","false","-0.2171946134993673","arrowleft","486284"
"475","0.48788877286186993","0.2858049294984397","arrowleft","true","false","-0.20208384336343022","arrowleft","494778"
"478","0.3718232856647763","0.5997231399893511","arrowright","true","true","0.22789985432457482","arrowright","503271"
"463","0.22939564239953292","0.8339668884243431","arrowright","true","true","0.6045712460248102","arrowright","511755"
"448","0.3910409093879704","0.5366055479025855","arrowright","true","true","0.1455646385146151","arrowright","520217"
"403","0.7950553732751453","0.20304180174243325","arrowleft","true","false","-0.5920135715327121","arrowleft","528640"
"403","0.27713915203016526","0.6137626807399736","arrowright","true","true","0.3366235287098084","arrowright","537065"
"419","0.9807142692148265","0.5586424309877274","arrowleft","true","false","-0.42207183822709915","arrowleft","545501"
"672","0.6651761560530041","0.14892119849242746","arrowleft","true","false","-0.5162549575605766","arrowleft","554189"
"506","0.4597173870033564","0.39534618624285145","arrowleft","true","false","-0.06437120076050495","arrowleft","562715"
"621","0.633244994384572","0.9287405762821652","arrowright","true","true","0.2954955818975932","arrowright","571352"
"529","0.8453555204661137","0.04428982430693229","arrowleft","true","false","-0.8010656961591814","arrowleft","579901"
"543","0.24048592054095674","0.16897336960353104","arrowleft","true","false","-0.0715125509374257","arrowleft","588457"
"559","0.5842025249064107","0.5174129969268141","arrowleft","true","false","-0.06678952797959659","arrowleft","597035"
"476","0.9038466257026043","0.44318367834832895","arrowleft","true","false","-0.4606629473542754","arrowleft","605526"
"468","0.7396747242724853","0.20867102770030022","arrowleft","true","false","-0.531003696572185","arrowleft","614015"
"450","0.6575658510595186","0.932536109378427","arrowright","true","true","0.2749702583189084","arrowright","622480"
"637","0.8733663115346418","0.06275124926570796","arrowleft","true","false","-0.8106150622689339","arrowleft","631132"
"1153","0.8196052812225118","0.08126756423047776","arrowleft","true","false","-0.738337716992034","arrowleft","640306"
"441","0.7727239829397929","0.8906030292635583","arrowright","true","true","0.11787904632376534","arrowright","648763"
"636","0.09951781967337858","0.3685994144923186","arrowright","true","true","0.26908159481894","arrowright","657419"
"781","0.20342125264266242","0.09324343238349575","arrowleft","true","false","-0.11017782025916667","arrowleft","666218"
"587","0.20425976791620948","0.6469812067479913","arrowright","true","true","0.44272143883178183","arrowright","674826"
"628","0.3204544579596291","0.5816844005415613","arrowright","true","true","0.2612299425819322","arrowright","683470"
"477","0.5254340766146418","0.6079305367241703","arrowright","true","true","0.08249646010952849","arrowright","691965"
"458","0.2511360940351217","0.05554623530858249","arrowleft","true","false","-0.19558985872653922","arrowleft","700437"
"567","0.5546641054180809","0.032189869581989994","arrowleft","true","false","-0.5224742358360909","arrowleft","709022"
"387","0.673175104849466","0.08000212562097275","arrowleft","true","false","-0.5931729792284932","arrowleft","717424"
"559","0.24074340767622393","0.6427166941925441","arrowright","true","true","0.40197328651632014","arrowright","726001"
"457","0.5339727646526634","0.4756630400677525","arrowleft","true","false","-0.058309724584910905","arrowleft","734474"
"565","0.8115483482408372","0.054242623926185285","arrowleft","true","false","-0.7573057243146519","arrowleft","743058"
"659","0.4192357194635744","0.536180762367964","arrowright","true","true","0.11694504290438956","arrowright","751734"
"608","0.9455432322211729","0.19631376650872445","arrowleft","true","false","-0.7492294657124484","arrowleft","760362"
"501","0.49602042825987247","0.33911929857746215","arrowleft","true","false","-0.15690112968241032","arrowleft","768884"
"497","0.659697369072988","0.11820174943150974","arrowleft","true","false","-0.5414956196414783","arrowleft","777404"
"474","0.8859294906865143","0.7077227751360909","arrowleft","true","false","-0.17820671555042333","arrowleft","785893"
