"rt","colour","idx","word","congruence","congruence_num","target","response","correct_response","time_elapsed"
"885","#ff2a60","0","purple","incongruent","-1","word","arrowright","arrowright","246799"
"992","#ff2a60","0","yellow","incongruent","-1","word","arrowup","arrowup","249294"
"846","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","251643"
"882","#8a25d8","2","yellow","incongruent","-1","word","arrowup","arrowup","254029"
"774","#8a25d8","2","red","incongruent","-1","word","arrowleft","arrowleft","256306"
"824","#ff2a60","0","red","congruent","1","word","arrowleft","arrowleft","258633"
"923","#eae813","1","purple","incongruent","-1","word","arrowright","arrowright","261059"
"842","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","263404"
"700","#ff2a60","0","red","congruent","1","word","arrowleft","arrowleft","265608"
"888","#ff2a60","0","yellow","incongruent","-1","word","arrowup","arrowup","267999"
"742","#eae813","1","red","incongruent","-1","word","arrowleft","arrowleft","270243"
"750","#8a25d8","2","red","incongruent","-1","word","arrowleft","arrowleft","272497"
"643","#eae813","1","yellow","congruent","1","word","arrowup","arrowup","274643"
"1326","#ff2a60","0","purple","incongruent","-1","word","arrowright","arrowright","277471"
"769","#8a25d8","2","yellow","incongruent","-1","word","arrowup","arrowup","279743"
"758","#eae813","1","red","incongruent","-1","word","arrowleft","arrowleft","282004"
"837","#ff2a60","0","purple","incongruent","-1","word","arrowright","arrowright","284344"
"587","#eae813","1","yellow","congruent","1","word","arrowup","arrowup","286434"
"859","#8a25d8","2","yellow","incongruent","-1","word","arrowup","arrowup","288795"
"857","#eae813","1","purple","incongruent","-1","word","arrowright","arrowright","291155"
"695","#8a25d8","2","red","incongruent","-1","word","arrowleft","arrowleft","293353"
"737","#ff2a60","0","yellow","incongruent","-1","word","arrowup","arrowup","295593"
"634","#ff2a60","0","red","congruent","1","word","arrowleft","arrowleft","297730"
"722","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","299955"
