"rt","lum","off","response","time_elapsed"
"411","0.08802245919593225","0.7215547543178583"," ","17920"
"381","0.04708704500071874","0.9475895321566338"," ","20012"
"294","0.37117257282696503","0.42799684876798905"," ","23434"
"328","0.42581294668152847","0.9514922096155595"," ","25834"
"296","0.12718103666373873","0.39343123502060817"," ","29065"
"319","0.20648795845439152","0.4101030067051602"," ","31323"
"307","0.40139069176205305","0.49347851835966594"," ","34891"
"344","0.4233996215132076","0.7933166434373152"," ","38501"
"384","0.09922474956529019","0.24548806886275942"," ","40561"
"299","0.2369646579056988","0.5018766186203081"," ","44857"
"279","0.21303687059283596","0.14655471001494225"," ","47696"
"300","0.493132672009508","0.055870763471466245"," ","49054"
"339","0.14271868551617675","0.7941856159753595"," ","51395"
"286","0.3407809077451216","0.5638936323823661"," ","54710"
"260","0.4589859278539787","0.5592455564838633"," ","58268"
"357","0.4618384742802145","0.048681929193693185"," ","61093"
"378","0.44494552319527975","0.8581937318831563"," ","63841"
"298","0.14485575981599627","0.4222343054144929"," ","65931"
"274","0.4198508324102704","0.5456741906279795"," ","69126"
"282","0.29404256702575077","0.6320895813771423"," ","71624"
"331","0.2365703068277191","0.25283163299828704"," ","73418"
"264","0.2238399099396677","0.25919593280348974"," ","75877"
"304","0.16723027059089998","0.8248681841032092"," ","77695"
"320","0.06364725976672418","0.1740497644867326"," ","81796"
"274","0.3788696806503831","0.9070296469585648"," ","84284"
"267","0.29580979490802384","0.4074079823713923"," ","86598"
"309","0.06609376696586065","0.1621108577410063"," ","87959"
"349","0.3863566249099284","0.34294926143745696"," ","91089"
"386","0.39958801576413444","0.9835002249319319"," ","92762"
"308","0.20372405729276297","0.24153791500806066"," ","94310"
"285","0.037658107025492424","0.1894257241875903"," ","96143"
"300","0.31419638199174005","0.4096646831827131"," ","99896"
"302","0.30187073425466804","0.5518107971404344"," ","101443"
"278","0.2271879242911843","0.36540084651664306"," ","104277"
"286","0.14904488914107164","0.22034967649428494"," ","106912"
"255","0.24850880937635447","0.09568414665533953"," ","109783"
"292","0.26730462520604636","0.08490979082506067"," ","111535"
"334","0.44552663737704973","0.5996718367552187"," ","113051"
"263","0.2899126483346498","0.4873457722626908"," ","116136"
"296","0.24513213106777473","0.4807306775908865"," ","118431"
"263","0.07444810999852251","0.9052873176875373"," ","120996"
"289","0.3206543195776373","0.07095686849491412"," ","122434"
"282","0.17037728609806027","0.27871325159952376"," ","126342"
"281","0.06459209684596405","0.8813919186530147"," ","128219"
"313","0.16609300021865694","0.5350989751865363"," ","131637"
"283","0.19031997012060123","0.7078528780555592"," ","134086"
"287","0.27719446197489284","0.5993620385325096"," ","138021"
"285","0.2485846274228609","0.23439162046410145"," ","140636"
"315","0.47868389118057647","0.21003409304376386"," ","143680"
"410","0.4261685480773577","0.4152044426878927"," ","145303"
"303","0.24081414238170032","0.6493200997371247"," ","149139"
"251","0.30498797574927944","0.15174235006508707"," ","152488"
"302","0.35194648905511494","0.7572784695495369"," ","154698"
"276","0.28039480234868236","0.6263578826272336"," ","157307"
"290","0.37111835824774847","0.5668497551142827"," ","159431"
"257","0.5004842160949904","0.6381260007714373"," ","161744"
