"rt","lum","off","response","time_elapsed"
"305","0.10710467609562944","0.9340920613323369"," ","165249"
"325","0.17820988671422863","0.8520809525944721"," ","168278"
"318","0.34979087349034704","0.17572885267868354"," ","170696"
"311","0.023577401937330694","0.15018416360454134"," ","173671"
"290","0.3502551038467044","0.8324586247724338"," ","175684"
"292","0.3917909687858416","0.8898184765378734"," ","179255"
"299","0.29133210584812147","0.5779012309087397"," ","180664"
"254","0.15433976893534493","0.5815912965239417"," ","183458"
"292","0.2399351587179354","0.764538184468079"," ","185306"
"276","0.45448162876697623","0.8473613011021265"," ","189430"
"379","0.3419375401883599","0.8729569284349836"," ","193262"
"313","0.16538523055088952","0.8221073283495868"," ","194926"
"297","0.25729218320319325","0.9589465484365777"," ","198051"
"284","0.4697494652275361","0.8963357287507099"," ","199784"
"284","0.17505254341402046","0.7293323819054598"," ","202140"
"288","0.24036759267901295","0.17391557250831624"," ","204074"
"289","0.4279674079097147","0.4076543233872858"," ","207621"
"263","0.4659087239789502","0.3486447931647664"," ","210639"
"311","0.14836995661178812","0.6438186473920642"," ","214536"
"287","0.35453359987556976","0.1455584282782738"," ","218548"
"304","0.06563630583381634","0.9821357575225468"," ","221091"
"307","0.043409515382554095","0.7069477658043424"," ","225331"
"290","0.41918820504222565","0.2967146818703854"," ","228864"
"325","0.26264613622026656","0.14560481100418599"," ","231777"
"311","0.055901191164842365","0.10141668727978914"," ","233703"
"360","0.11070099177060892","0.9432036313523623"," ","235117"
"373","0.2933939667878421","0.7049710083909967"," ","238207"
"667","0.2781271395102751","0.3720159127616245"," ","240070"
"294","0.2428090027884192","0.8082734123700436"," ","241655"
"292","0.5180688030205753","0.1384898026044753"," ","243828"
"405","0.339644194474572","0.11399844467031728"," ","247240"
"332","0.2888044827982781","0.13655249281617488"," ","249265"
"334","0.3264181782875044","0.8332820134708334"," ","250876"
"309","0.2304469874598842","0.2726124682020894"," ","253602"
"370","0.03858897679197125","0.5224413933740678"," ","255768"
"321","0.17970917487746965","0.9011458574695422"," ","259168"
"311","0.3741458309865458","0.4093322295512909"," ","262925"
"321","0.42591142801918125","0.8127016009938097"," ","266247"
"316","0.31606963496117196","0.3189721872143444"," ","268911"
"370","0.46291090212503977","0.01682759119303534"," ","271046"
"297","0.30968844986939886","0.9987592043071893"," ","274155"
"308","0.22127421234661157","0.5399193220381208"," ","278202"
"453","0.27054429620664094","0.9366633620345757"," ","281644"
"319","0.3771924488793176","0.21494532974786074"," ","284420"
