"rt","lum1","lum2","correct_response","correct","right","diff","response","time_elapsed"
"1788","0.9397545293447042","0.6973585355228753","arrowleft","true","false","-0.24239599382182886","arrowleft","22222"
"666","0.6489786729417996","0.96291766116391","arrowright","true","true","0.3139389882221104","arrowright","22894"
"839","0.5245379494693335","0.6304315328131997","arrowright","true","true","0.10589358334386623","arrowright","23737"
"697","0.8739994365780196","0.24828478134552634","arrowleft","true","false","-0.6257146552324933","arrowleft","24437"
"971","0.9024584749091653","0.1509321435339479","arrowleft","true","false","-0.7515263313752174","arrowleft","25411"
"1349","0.6277417239159303","0.5095760722260113","arrowleft","true","false","-0.118165651689919","arrowleft","26764"
"686","0.2583658195098527","0.794039266245918","arrowright","true","true","0.5356734467360653","arrowright","27454"
"1018","0.4224253863452828","0.7048163875692265","arrowright","true","true","0.28239100122394367","arrowright","28477"
"627","0.3709933006171432","0.20300430248133716","arrowleft","true","false","-0.16798899813580603","arrowleft","29107"
"802","0.4541737237149567","0.7978889496883357","arrowright","true","true","0.343715225973379","arrowright","29913"
"818","0.13376977717561678","0.19676002130330494","arrowright","true","true","0.06299024412768817","arrowright","30735"
"717","0.8624891265475599","0.6070104268772167","arrowleft","true","false","-0.2554786996703432","arrowleft","31456"
"2645","0.6822565799553201","0.6882498145403506","arrowright","true","true","0.005993234585030538","arrowright","34105"
"753","0.9944808817339732","0.5925185806560236","arrowleft","true","false","-0.4019623010779496","arrowleft","34861"
"730","0.4386423292046695","0.9913297919752688","arrowright","true","true","0.5526874627705993","arrowright","35593"
"916","0.27567771506412264","0.23198143164933582","arrowleft","true","false","-0.04369628341478682","arrowleft","36512"
"748","0.4641149294333079","0.7338009321022494","arrowright","true","true","0.2696860026689415","arrowright","37264"
"701","0.6977646747761502","0.31908782688205506","arrowleft","true","false","-0.37867684789409517","arrowleft","37971"
"731","0.8980225399487755","0.4114401266168547","arrowleft","true","false","-0.48658241333192076","arrowleft","38707"
"764","0.7007355929012796","0.16854833552700166","arrowleft","true","false","-0.532187257374278","arrowleft","39475"
"1323","0.7968259157833464","0.6601276021866849","arrowleft","true","false","-0.1366983135966615","arrowleft","40801"
"769","0.061544120590272144","0.603355133167653","arrowright","true","true","0.5418110125773808","arrowright","41574"
"1989","0.7188722128716657","0.7575767213262353","arrowright","false","false","0.03870450845456963","arrowleft","43567"
"1640","0.7213138574494796","0.6099734628796383","arrowleft","true","false","-0.11134039456984135","arrowleft","45210"
"1138","0.7112292910886459","0.9117403190421052","arrowright","true","true","0.20051102795345932","arrowright","46352"
"1727","0.5992984534457573","0.5751709607403866","arrowleft","true","false","-0.024127492705370623","arrowleft","48083"
"723","0.6488484946144426","0.4811505716308392","arrowleft","true","false","-0.16769792298360342","arrowleft","48811"
"649","0.4777136413740619","0.7982745797087047","arrowright","true","true","0.32056093833464283","arrowright","49464"
"2509","0.5408067361772942","0.5443228465858706","arrowright","true","true","0.003516110408576356","arrowright","51977"
"694","0.1688517039562183","0.5723007723480142","arrowright","true","true","0.40344906839179595","arrowright","52675"
"735","0.16560733555390028","0.461344755072133","arrowright","true","true","0.29573741951823274","arrowright","53413"
"671","0.8755039958023847","0.860051227070911","arrowleft","true","false","-0.01545276873147372","arrowleft","54086"
"2108","0.7065811696212964","0.7788971522636067","arrowright","true","true","0.07231598264231032","arrowright","56198"
"835","0.4917806086855463","0.8404285196245558","arrowright","true","true","0.3486479109390095","arrowright","57039"
"875","0.09488621857979229","0.9097374645318217","arrowright","true","true","0.8148512459520294","arrowright","57918"
"1865","0.762693233914669","0.5683054761270112","arrowleft","true","false","-0.19438775778765782","arrowleft","59787"
"646","0.4816054577405571","0.9690923625542129","arrowright","true","true","0.48748690481365586","arrowright","60436"
"760","0.074496952287748","0.28784538149128724","arrowright","true","true","0.21334842920353925","arrowright","61200"
"769","0.18701280309620516","0.3977250273922095","arrowright","true","true","0.21071222429600434","arrowright","61974"
"813","0.681543692188699","0.05907493487766646","arrowleft","true","false","-0.6224687573110326","arrowleft","62790"
"957","0.26141081862201165","0.49156448234350625","arrowright","true","true","0.2301536637214946","arrowright","63751"
"979","0.11007848462579717","0.37455704991086625","arrowright","true","true","0.2644785652850691","arrowright","64733"
"1035","0.5209242708014323","0.9008263921647776","arrowright","true","true","0.3799021213633452","arrowright","65771"
"641","0.8721988528114656","0.20739100289866252","arrowleft","true","false","-0.6648078499128031","arrowleft","66415"
"647","0.057531287840794865","0.7911242799948351","arrowright","true","true","0.7335929921540403","arrowright","67065"
"802","0.31361992964612584","0.9884079615293067","arrowright","true","true","0.6747880318831808","arrowright","67874"
"871","0.3925792375589022","0.5969113258310315","arrowright","true","true","0.20433208827212923","arrowright","68752"
"865","0.592543958046194","0.3656488862326065","arrowleft","true","false","-0.22689507181358748","arrowleft","69621"
"1962","0.7925117404400062","0.9332164225651601","arrowright","true","true","0.14070468212515397","arrowright","71588"
